file,timeframe,symbol_hint,rows,cols,targets,num_targets,missing_required,dup_timestamps,timestamp_monotonic,time_step_ok,time_step_mismatch_ratio,expected_step_ms,max_target_nan,trainable,fail_reasons,error
1d\ADA_USDT_1d.csv,1d,ADA_USDT,1699,204,target_logsharpe_ratio;target_logreturn;target_return_outlier_lower_10;target_return_outlier_upper_90;target_binarytrend;target_max_drawdown;target_drawdown_prob;target_trend_persistence;target_pullback_prob;target_sideway_detect;target_breakout_count,11,,0,True,True,0.0,86400000,0.0,True,,
1d\BNB_USDT_1d.csv,1d,BNB_USDT,1699,204,target_logsharpe_ratio;target_logreturn;target_return_outlier_lower_10;target_return_outlier_upper_90;target_binarytrend;target_max_drawdown;target_drawdown_prob;target_trend_persistence;target_pullback_prob;target_sideway_detect;target_breakout_count,11,,0,True,True,0.0,86400000,0.0,True,,
1d\BTC_USDT_1d.csv,1d,BTC_USDT,1699,204,target_logsharpe_ratio;target_logreturn;target_return_outlier_lower_10;target_return_outlier_upper_90;target_binarytrend;target_max_drawdown;target_drawdown_prob;target_trend_persistence;target_pullback_prob;target_sideway_detect;target_breakout_count,11,,0,True,True,0.0,86400000,0.0,True,,
1d\ETH_USDT_1d.csv,1d,ETH_USDT,1699,204,target_logsharpe_ratio;target_logreturn;target_return_outlier_lower_10;target_return_outlier_upper_90;target_binarytrend;target_max_drawdown;target_drawdown_prob;target_trend_persistence;target_pullback_prob;target_sideway_detect;target_breakout_count,11,,0,True,True,0.0,86400000,0.0,True,,
1d\SOL_USDT_1d.csv,1d,SOL_USDT,1699,204,target_logsharpe_ratio;target_logreturn;target_return_outlier_lower_10;target_return_outlier_upper_90;target_binarytrend;target_max_drawdown;target_drawdown_prob;target_trend_persistence;target_pullback_prob;target_sideway_detect;target_breakout_count,11,,0,True,True,0.0,86400000,0.0,True,,
1h\ADA_USDT_1h.csv,1h,ADA_USDT,42578,204,target_logsharpe_ratio;target_logreturn;target_return_outlier_lower_10;target_return_outlier_upper_90;target_binarytrend;target_max_drawdown;target_drawdown_prob;target_trend_persistence;target_pullback_prob;target_sideway_detect;target_breakout_count,11,,0,True,True,0.0,3600000,0.0,True,,
1h\BNB_USDT_1h.csv,1h,BNB_USDT,42578,204,target_logsharpe_ratio;target_logreturn;target_return_outlier_lower_10;target_return_outlier_upper_90;target_binarytrend;target_max_drawdown;target_drawdown_prob;target_trend_persistence;target_pullback_prob;target_sideway_detect;target_breakout_count,11,,0,True,True,0.0,3600000,0.0,True,,
1h\BTC_USDT_1h.csv,1h,BTC_USDT,42578,204,target_logsharpe_ratio;target_logreturn;target_return_outlier_lower_10;target_return_outlier_upper_90;target_binarytrend;target_max_drawdown;target_drawdown_prob;target_trend_persistence;target_pullback_prob;target_sideway_detect;target_breakout_count,11,,0,True,True,0.0,3600000,0.0,True,,
1h\ETH_USDT_1h.csv,1h,ETH_USDT,42578,204,target_logsharpe_ratio;target_logreturn;target_return_outlier_lower_10;target_return_outlier_upper_90;target_binarytrend;target_max_drawdown;target_drawdown_prob;target_trend_persistence;target_pullback_prob;target_sideway_detect;target_breakout_count,11,,0,True,True,0.0,3600000,0.0,True,,
1h\SOL_USDT_1h.csv,1h,SOL_USDT,42578,204,target_logsharpe_ratio;target_logreturn;target_return_outlier_lower_10;target_return_outlier_upper_90;target_binarytrend;target_max_drawdown;target_drawdown_prob;target_trend_persistence;target_pullback_prob;target_sideway_detect;target_breakout_count,11,,0,True,True,0.0,3600000,0.0,True,,
4h\ADA_USDT_4h.csv,4h,ADA_USDT,10571,204,target_logsharpe_ratio;target_logreturn;target_return_outlier_lower_10;target_return_outlier_upper_90;target_binarytrend;target_max_drawdown;target_drawdown_prob;target_trend_persistence;target_pullback_prob;target_sideway_detect;target_breakout_count,11,,0,True,True,0.0,14400000,0.0,True,,
4h\BNB_USDT_4h.csv,4h,BNB_USDT,10571,204,target_logsharpe_ratio;target_logreturn;target_return_outlier_lower_10;target_return_outlier_upper_90;target_binarytrend;target_max_drawdown;target_drawdown_prob;target_trend_persistence;target_pullback_prob;target_sideway_detect;target_breakout_count,11,,0,True,True,0.0,14400000,0.0,True,,
4h\BTC_USDT_4h.csv,4h,BTC_USDT,10571,204,target_logsharpe_ratio;target_logreturn;target_return_outlier_lower_10;target_return_outlier_upper_90;target_binarytrend;target_max_drawdown;target_drawdown_prob;target_trend_persistence;target_pullback_prob;target_sideway_detect;target_breakout_count,11,,0,True,True,0.0,14400000,0.0,True,,
4h\ETH_USDT_4h.csv,4h,ETH_USDT,10571,204,target_logsharpe_ratio;target_logreturn;target_return_outlier_lower_10;target_return_outlier_upper_90;target_binarytrend;target_max_drawdown;target_drawdown_prob;target_trend_persistence;target_pullback_prob;target_sideway_detect;target_breakout_count,11,,0,True,True,0.0,14400000,0.0,True,,
4h\SOL_USDT_4h.csv,4h,SOL_USDT,10571,204,target_logsharpe_ratio;target_logreturn;target_return_outlier_lower_10;target_return_outlier_upper_90;target_binarytrend;target_max_drawdown;target_drawdown_prob;target_trend_persistence;target_pullback_prob;target_sideway_detect;target_breakout_count,11,,0,True,True,0.0,14400000,0.0,True,,
