file,same_set_as_baseline,same_order_as_baseline,n_cols,missing_vs_baseline,extra_vs_baseline
1d\ADA_USDT_1d.csv,True,True,204,,
1d\BNB_USDT_1d.csv,True,True,204,,
1d\BTC_USDT_1d.csv,True,True,204,,
1d\ETH_USDT_1d.csv,True,True,204,,
1d\SOL_USDT_1d.csv,True,True,204,,
1h\ADA_USDT_1h.csv,True,True,204,,
1h\BNB_USDT_1h.csv,True,True,204,,
1h\BTC_USDT_1h.csv,True,True,204,,
1h\ETH_USDT_1h.csv,True,True,204,,
1h\SOL_USDT_1h.csv,True,True,204,,
4h\ADA_USDT_4h.csv,True,True,204,,
4h\BNB_USDT_4h.csv,True,True,204,,
4h\BTC_USDT_4h.csv,True,True,204,,
4h\ETH_USDT_4h.csv,True,True,204,,
4h\SOL_USDT_4h.csv,True,True,204,,
