dataset,start_date,end_date
ahr999.csv,2011-02-01,2025-09-09
altcoin-season.csv,2017-04-03,2025-09-09
bitcoin-active_addresses.csv,2010-08-17,2025-09-07
bitcoin-correlation.csv,2010-09-15,2025-09-08
bitcoin-dominance.csv,2013-05-01,2025-09-07
bitcoin-long_term_holder_supply.csv,2011-08-18,2025-09-07
bitcoin-lth_realized_price.csv,2012-01-01,2025-09-07
bitcoin-lth_sopr.csv,2010-07-15,2025-09-08
bitcoin-macro_oscillator.csv,2012-01-09,2025-09-07
bitcoin-net_unrealized_profit_loss.csv,2009-01-03,2025-08-05
bitcoin-new_addresses.csv,2010-08-17,2025-09-07
bitcoin-reserve_risk.csv,2010-08-17,2025-09-07
bitcoin-rhodl_ratio.csv,2010-08-17,2025-09-07
bitcoin-short_term_holder_supply.csv,2011-08-18,2025-09-07
bitcoin-sth_realized_price.csv,2012-01-01,2025-09-07
bitcoin-sth_sopr.csv,2010-07-13,2025-09-08
bitcoin-vs-global-m2-growth.csv,2013-05-20,2025-09-01
bitcoin-vs-us-m2-growth.csv,2010-07-13,2025-07-31
bitcoin/bubble_index.csv,2010-07-17,2025-01-05
bitcoin/rainbow_chart.csv,2010-08-17,2026-05-15
borrow_interest_rate-Binance-ADA-1d.csv,2023-08-01,2025-09-09
borrow_interest_rate-Binance-BNB-1d.csv,2023-08-01,2025-09-09
borrow_interest_rate-Binance-BTC-1d.csv,2023-08-01,2025-09-09
borrow_interest_rate-Binance-ETH-1d.csv,2023-08-01,2025-09-09
borrow_interest_rate-Binance-SOL-1d.csv,2023-08-01,2025-09-09
pi_cycle_indicator.csv,2010-08-17,2025-09-07
premium-index.csv,2020-10-01,2025-09-09
puell_multiple.csv,2010-08-17,2025-09-07
stableCoin-marketCap-history.csv,2015-02-25,2025-09-08
stock_flow.csv,2010-08-17,2028-05-03
